"selected_quarter","fast_ma","ma_diff","signal_estimator","window_regime","treshold_regime","volat_param","m_exit","m_diff","instrument_name","group_data","p_val","tr_cost","stats_mm","stats_mr","stats_fl"
"2024_Q2",33,62,"median",37,0.17077,23,2.96839,2.02355,"SP",1,50,12,2.76663530470054,-5.29548630110155,2.52058837992855
"2022_Q1",100,78,"mean",65,0.4443,35,2.12048,1.52241,"SP",1,50,12,6.64472928182782,-6.32854018188506,6.38363341920029
"2022_Q3",100,78,"mean",65,0.4443,35,2.12048,1.52241,"SP",1,50,12,32.6933573298412,-9.01455142534622,32.1512717148708
"2022_Q4",100,78,"mean",65,0.4443,35,2.12048,1.52241,"SP",1,50,12,-3.4439197909108,1.9030181744924,-3.54897313214868
"2023_Q2",100,78,"mean",65,0.4443,35,2.12048,1.52241,"SP",1,50,12,7.56981943328579,-8.05034902429966,-1.17098706080727
"2023_Q4",100,78,"mean",65,0.4443,35,2.12048,1.52241,"SP",1,50,12,-3.46346840711086,1.26056988699609,-3.55513493826285
"2024_Q1",100,78,"mean",65,0.4443,35,2.12048,1.52241,"SP",1,50,12,-4.15793681977734,5.67290052720446,-4.37448370227769
"2024_Q2",100,78,"mean",65,0.4443,35,2.12048,1.52241,"SP",1,50,12,-3.96930358466025,4.0351801482105,-4.08147337204484
"2022_Q1",53,11,"mean",85,0.26364,48,0.51442,0.84036,"SP",1,50,12,31.8210538888276,-2.53589062694099,15.7240407428468
"2022_Q3",53,11,"mean",85,0.26364,48,0.51442,0.84036,"SP",1,50,12,0,0,0
"2022_Q4",53,11,"mean",85,0.26364,48,0.51442,0.84036,"SP",1,50,12,0,0,0
"2023_Q2",53,11,"mean",85,0.26364,48,0.51442,0.84036,"SP",1,50,12,-4.94545174040828,-1.00566221162218,-6.71079107802394
"2023_Q4",53,11,"mean",85,0.26364,48,0.51442,0.84036,"SP",1,50,12,0,-0.511932939299292,0
"2024_Q1",53,11,"mean",85,0.26364,48,0.51442,0.84036,"SP",1,50,12,0,0,0
"2024_Q2",53,11,"mean",85,0.26364,48,0.51442,0.84036,"SP",1,50,12,0,0,0
"2022_Q1",74,78,"mean",76,0.26724,4,0.84146,0.62053,"SP",1,50,12,34.7464193272675,-14.2058141826903,34.4283553412375
"2022_Q3",74,78,"mean",76,0.26724,4,0.84146,0.62053,"SP",1,50,12,-1.73225679401297,-1.46154457969624,-1.78506071256683
"2022_Q4",74,78,"mean",76,0.26724,4,0.84146,0.62053,"SP",1,50,12,21.7367639782908,-10.1048221988434,21.5788966422216
"2023_Q2",74,78,"mean",76,0.26724,4,0.84146,0.62053,"SP",1,50,12,-2.26479261666921,-3.08119320785455,-6.49896756104371
"2023_Q4",74,78,"mean",76,0.26724,4,0.84146,0.62053,"SP",1,50,12,-2.71089443422444,-2.44868917720035,-2.94073257733661
"2024_Q1",74,78,"mean",76,0.26724,4,0.84146,0.62053,"SP",1,50,12,-2.49659204062835,-1.4216430261497,-2.65215418563375
"2024_Q2",74,78,"mean",76,0.26724,4,0.84146,0.62053,"SP",1,50,12,12.2827040035413,-9.14808903155612,11.8043286689851
"2022_Q1",76,54,"mean",23,0.05177,87,0.60302,0.58219,"SP",1,50,12,31.0742337573624,-11.8798412005825,27.9008833012658
"2022_Q3",76,54,"mean",23,0.05177,87,0.60302,0.58219,"SP",1,50,12,9.98408160894334,-8.5040962651674,6.31348822287105
"2022_Q4",76,54,"mean",23,0.05177,87,0.60302,0.58219,"SP",1,50,12,7.97586391559654,-7.77088678904679,9.97886800695815
"2023_Q2",76,54,"mean",23,0.05177,87,0.60302,0.58219,"SP",1,50,12,2.13476950278097,-4.68695622214958,-7.48608963060104
"2023_Q4",76,54,"mean",23,0.05177,87,0.60302,0.58219,"SP",1,50,12,-10.9061185561924,34.0349990758693,-10.987154829452
"2024_Q1",76,54,"mean",23,0.05177,87,0.60302,0.58219,"SP",1,50,12,0,-1.77294765542241,0
"2024_Q2",76,54,"mean",23,0.05177,87,0.60302,0.58219,"SP",1,50,12,5.13011274015661,-5.38026069970784,4.85965072298937
"2022_Q1",74,19,"mean",65,0.56546,2,1.76879,0.16076,"SP",1,50,12,-1.75948865364217,-5.73892838396671,-1.44657658741917
"2022_Q3",74,19,"mean",65,0.56546,2,1.76879,0.16076,"SP",1,50,12,-0.295765320467822,-10.4561720551065,0
"2022_Q4",74,19,"mean",65,0.56546,2,1.76879,0.16076,"SP",1,50,12,11.3755714932379,-11.4320461595102,7.86326604481107
"2023_Q2",74,19,"mean",65,0.56546,2,1.76879,0.16076,"SP",1,50,12,0,-9.31426713300331,-5.54440848509894
"2023_Q4",74,19,"mean",65,0.56546,2,1.76879,0.16076,"SP",1,50,12,0.556265173962937,-9.45681059577412,0.186355755697038
"2024_Q1",74,19,"mean",65,0.56546,2,1.76879,0.16076,"SP",1,50,12,0.899668675078001,-9.15515562831949,0.740009686408156
"2024_Q2",74,19,"mean",65,0.56546,2,1.76879,0.16076,"SP",1,50,12,13.7672624264292,-10.9452245802316,14.1480323189993
"2022_Q1",11,42,"mean",4,0.24543,1,1.15461,1.22678,"SP",1,50,12,0,0,0
"2022_Q3",11,42,"mean",4,0.24543,1,1.15461,1.22678,"SP",1,50,12,0,0,0
"2022_Q4",11,42,"mean",4,0.24543,1,1.15461,1.22678,"SP",1,50,12,0,0,0
"2023_Q2",11,42,"mean",4,0.24543,1,1.15461,1.22678,"SP",1,50,12,0,0,0
"2023_Q4",11,42,"mean",4,0.24543,1,1.15461,1.22678,"SP",1,50,12,0,0,0
"2024_Q1",11,42,"mean",4,0.24543,1,1.15461,1.22678,"SP",1,50,12,0,0,0
"2024_Q2",11,42,"mean",4,0.24543,1,1.15461,1.22678,"SP",1,50,12,0,0,0
"2022_Q1",67,30,"mean",98,0.15979,19,1.01681,1.04405,"SP",1,50,12,12.7038886010977,-9.09064079012105,12.4916212982485
"2022_Q3",67,30,"mean",98,0.15979,19,1.01681,1.04405,"SP",1,50,12,0,-4.19937350721741,0
"2022_Q4",67,30,"mean",98,0.15979,19,1.01681,1.04405,"SP",1,50,12,0,-4.67678462037039,0
"2023_Q2",67,30,"mean",98,0.15979,19,1.01681,1.04405,"SP",1,50,12,20.5298247388271,-10.1370755664107,11.2154709252582
"2023_Q4",67,30,"mean",98,0.15979,19,1.01681,1.04405,"SP",1,50,12,-1.11743064387279,-1.83050103276845,-1.27258489356552
"2024_Q1",67,30,"mean",98,0.15979,19,1.01681,1.04405,"SP",1,50,12,0,-5.16245672636628,0
"2024_Q2",67,30,"mean",98,0.15979,19,1.01681,1.04405,"SP",1,50,12,-1.22691238732166,-1.28641914412416,-1.4700733053094
"2022_Q1",54,78,"mean",18,0.29397,15,1.60004,1.85784,"SP",1,50,12,37.5070720729743,-13.4098328493818,29.8925107666622
"2022_Q3",54,78,"mean",18,0.29397,15,1.60004,1.85784,"SP",1,50,12,-0.156956944172591,-2.35316676276762,-3.57758973187557
"2022_Q4",54,78,"mean",18,0.29397,15,1.60004,1.85784,"SP",1,50,12,-2.84241328015294,0,-4.6772074429808
"2023_Q2",54,78,"mean",18,0.29397,15,1.60004,1.85784,"SP",1,50,12,0,-4.49103347471952,-8.82554984185449
"2023_Q4",54,78,"mean",18,0.29397,15,1.60004,1.85784,"SP",1,50,12,-6.86565534058343,0.658219104820859,-9.15433705062771
"2024_Q1",54,78,"mean",18,0.29397,15,1.60004,1.85784,"SP",1,50,12,0,-3.91899447916196,-4.42891696026101
"2024_Q2",54,78,"mean",18,0.29397,15,1.60004,1.85784,"SP",1,50,12,11.0080636820857,-8.1446257533656,2.25832616070882
"2022_Q1",88,53,"mean",64,0.1779,67,0.91558,0.62364,"SP",1,50,12,2.31098283488797,-4.79729834621475,2.20744877916599
"2022_Q3",88,53,"mean",64,0.1779,67,0.91558,0.62364,"SP",1,50,12,8.58679107472578,-7.73304501890523,8.52920738384821
"2022_Q4",88,53,"mean",64,0.1779,67,0.91558,0.62364,"SP",1,50,12,2.09968007684108,-4.85793196304713,1.97149734396723
"2023_Q2",88,53,"mean",64,0.1779,67,0.91558,0.62364,"SP",1,50,12,0,-3.5490158429958,-3.51739625661313
"2023_Q4",88,53,"mean",64,0.1779,67,0.91558,0.62364,"SP",1,50,12,-10.4330135338768,31.3739376783269,-10.473933371098
"2024_Q1",88,53,"mean",64,0.1779,67,0.91558,0.62364,"SP",1,50,12,-2.5329141062895,0,-2.72147813469931
"2024_Q2",88,53,"mean",64,0.1779,67,0.91558,0.62364,"SP",1,50,12,3.93792910595247,-4.18497498581515,3.40374874121268
"2022_Q1",87,1,"mean",29,0.4678,14,1.4231,1.44381,"SP",1,50,12,0,0,0
"2022_Q3",87,1,"mean",29,0.4678,14,1.4231,1.44381,"SP",1,50,12,0,0,0
"2022_Q4",87,1,"mean",29,0.4678,14,1.4231,1.44381,"SP",1,50,12,0,0,-0.122117909214792
"2023_Q2",87,1,"mean",29,0.4678,14,1.4231,1.44381,"SP",1,50,12,-6.15019234547415,-10.2618508366937,-11.2188878776612
"2023_Q4",87,1,"mean",29,0.4678,14,1.4231,1.44381,"SP",1,50,12,0,0,0
"2024_Q1",87,1,"mean",29,0.4678,14,1.4231,1.44381,"SP",1,50,12,0,-0.509009821835055,-1.06233003195311
"2024_Q2",87,1,"mean",29,0.4678,14,1.4231,1.44381,"SP",1,50,12,0,0,0
"2022_Q1",63,28,"mean",8,0.35149,31,1.88632,0.56173,"SP",1,50,12,19.3549801668158,-9.78188542647416,-9.87661035075586
"2022_Q3",63,28,"mean",8,0.35149,31,1.88632,0.56173,"SP",1,50,12,0,-1.47494668261577,-13.0860869995901
"2022_Q4",63,28,"mean",8,0.35149,31,1.88632,0.56173,"SP",1,50,12,0.23576443911041,-1.54014162399458,-10.003315037808
"2023_Q2",63,28,"mean",8,0.35149,31,1.88632,0.56173,"SP",1,50,12,6.69658698210313,-7.99794437768955,-13.7816899574646
"2023_Q4",63,28,"mean",8,0.35149,31,1.88632,0.56173,"SP",1,50,12,0,-0.639978659916222,-12.930467833662
"2024_Q1",63,28,"mean",8,0.35149,31,1.88632,0.56173,"SP",1,50,12,-7.64335049165658,10.4701247487935,-12.5134034323888
"2024_Q2",63,28,"mean",8,0.35149,31,1.88632,0.56173,"SP",1,50,12,2.8378407483312,-3.55349594581163,-13.2793180452521
"2022_Q1",43,66,"mean",52,0.23382,5,0.83419,1.0069,"SP",1,50,12,3.08642237014281,-8.50839085334807,2.98026118662714
"2022_Q3",43,66,"mean",52,0.23382,5,0.83419,1.0069,"SP",1,50,12,-1.32524388109166,-3.38698049314829,-1.37823806565695
"2022_Q4",43,66,"mean",52,0.23382,5,0.83419,1.0069,"SP",1,50,12,22.412927252734,-10.2980141054314,21.9666777671087
"2023_Q2",43,66,"mean",52,0.23382,5,0.83419,1.0069,"SP",1,50,12,1.34325635389995,-8.35630897125734,-4.36098488714723
"2023_Q4",43,66,"mean",52,0.23382,5,0.83419,1.0069,"SP",1,50,12,4.50267294182862,-7.59075730847328,3.96565947391134
"2024_Q1",43,66,"mean",52,0.23382,5,0.83419,1.0069,"SP",1,50,12,-0.640753481528517,-4.96189085935301,-0.837503974395906
"2024_Q2",43,66,"mean",52,0.23382,5,0.83419,1.0069,"SP",1,50,12,-3.26060432724012,-2.65385035668388,-3.44890005539076
