"selected_quarter","grossSR","netSR","grossCR","netCR","stat","avg_ntrans","grossPNL","netPNL"
"2022_Q1",2.84758843391666,2.57912605641845,9.07571599312242,7.61354547532021,16.1050493371412,1.28125,9276.20000000017,8292.20000000017
"2022_Q3",5.76265819957344,5.62999054654472,828.220062695662,611.398340822527,1726.63927631484,0.96969696969697,17613.4800000001,16845.4800000001
"2022_Q4",4.90006448688638,4.80107370393925,70789.9500016738,905.096769230767,2187.11726815574,0.615384615384615,11685.96,11205.96
"2023_Q2",3.06667550951501,0.91414489296272,12.1172195548316,3.05974198880752,4.0299360204801,11.78125,12780.5199999999,3732.51999999992
"2023_Q4",-2.51118300109006,-3.08445640596524,-3.12328276778529,-3.30727287635291,-6.16690805806706,1.78125,-5085.67999999996,-6453.67999999996
"2024_Q1",-0.476812732361695,-0.721289741116352,-0.651499809697218,-0.93876550683888,-0.744986073412189,1,-1443.30000000009,-2211.30000000009
"2024_Q2",-0.899908903549295,-1.16615723137696,-1.5057641143029,-1.80019408046706,-3.32863170530179,1.84615384615385,-4913.71999999996,-6353.71999999996
"2022_Q2",2.8180551052654,2.71109207928868,16.6253357783995,15.6510180602004,35.6403955954271,0.646153846153846,10253.2799999999,9749.27999999994
"2023_Q1",2.63123384773573,1.50734119729178,8.03532603938763,3.4951418882743,5.91986964489553,5.16923076923077,9471.80000000015,5439.80000000015
"2023_Q3",0.677822151385591,-0.541579067859035,1.59454094292831,-1.03216668478035,-0.507836030742765,4.73846153846154,2060.40000000034,-1635.59999999966
"2024_Q3",-0.590081264938816,-1.21778170288707,-0.92924267005227,-1.7593618249274,-1.82967596806185,1.81818181818182,-1389.11999999953,-2829.11999999953
"2024_Q4",0.13554916710522,-0.184400376051842,0.332732950491815,-0.428099100057642,0,0.953846153846154,316.100000000006,-427.899999999994
