"selected_quarter","grossSR","netSR","grossCR","netCR","stat","avg_ntrans","grossPNL","netPNL"
"2022_Q1",-0.413511481460512,-1.81245158164112,-0.685345696432384,-1.89630301949801,0,0.467532467532468,-170.000000000059,-650.000000000059
"2022_Q3",2.58741261205567,2.23901969131,24.2685569620266,12.5149367088616,0,0.30379746835443,760.800000000023,470.800000000023
"2022_Q4",2.62857052218125,2.40632870261978,53.1784615384634,36.0523724895036,61.1831870857787,0.538461538461538,6007.89999999998,5457.89999999998
"2023_Q2",0.0997820074908536,-1.45072107243085,0.260053115424013,-2.05030572895581,-2.84734437621132,3.87012987012987,265.200000000112,-4009.79999999989
"2023_Q4",1.78651123221499,1.65474233622522,35.2153846153861,28.3627530364384,34.170664442871,0.435897435897436,3706.00000000004,3336.00000000004
"2024_Q1",0.0839786176755097,-0.554777483816863,0.133584638944462,-0.733992264718558,0,0.487179487179487,53.9999999999786,-366.000000000021
"2024_Q2",3.91863148714894,3.8961925548866,Inf,2148.84923076922,6040.60433238932,0.282051282051282,16878,16628
"2022_Q2",0.879949467056362,0.600468592578279,4.47337278106555,2.35462842242524,0,0.256410256410256,630.000000000024,430.000000000024
"2023_Q1",-1.70954757466657,-2.23510576112274,-1.9255038435781,-2.25446866163391,-4.14074884724602,1.33333333333333,-4805.70000000001,-6275.70000000001
"2023_Q3",-2.5808079219986,-3.07878021028859,-2.70468006015776,-2.9528085243191,-6.12535453805292,1.37179487179487,-6499.90000000001,-7959.90000000001
"2024_Q3",-2.66600125281347,-2.78860339832411,-3.18987341772152,-3.18987341772152,-5.00036170253825,0.30379746835443,-4555.00000000001,-4795.00000000001
"2024_Q4",-0.164504217691018,-0.425350867100879,-0.275470920929745,-0.68238590515991,0,0.379746835443038,-207.000000000082,-547.000000000082
