"selected_quarter","fast_ma","ma_diff","signal_estimator","window_regime","treshold_regime","instrument_name","group_data","p_val","tr_cost","stats_mm","stats_mr","stats_fl"
"2024_Q1",10,82,"median",92,0.27533,"SP",1,50,12,-7.46014901791056,-7.5283094678384,-7.58902791691109
"2024_Q2",10,82,"median",92,0.27533,"SP",1,50,12,-0.253217348455384,-10.3062397583943,-0.497580463779786
"2022_Q1",90,85,"mean",67,0.03738,"SP",1,50,12,26.0717117389103,-12.9394287965108,25.7601626514632
"2022_Q3",90,85,"mean",67,0.03738,"SP",1,50,12,-1.83323760122961,-0.997826732693888,-1.88661286690946
"2022_Q4",90,85,"mean",67,0.03738,"SP",1,50,12,1.7290517410713,-6.38989719153093,1.64142141364443
"2023_Q2",90,85,"mean",67,0.03738,"SP",1,50,12,4.61605331683536,-7.59371404549897,0
"2023_Q4",90,85,"mean",67,0.03738,"SP",1,50,12,-4.56028833591527,-0.911748035902368,-4.6850339909071
"2024_Q1",90,85,"mean",67,0.03738,"SP",1,50,12,-0.547053346705386,-3.60541965187327,-0.653011097603624
"2024_Q2",90,85,"mean",67,0.03738,"SP",1,50,12,4.53574759805377,-8.01948355872632,4.29691446154745
"2022_Q1",20,26,"median",38,0.0125,"SP",1,50,12,2.78840297352325,-13.8374470199421,2.7218715910635
"2022_Q3",20,26,"median",38,0.0125,"SP",1,50,12,1.58778701669876,-13.273436632453,1.53523691438231
"2022_Q4",20,26,"median",38,0.0125,"SP",1,50,12,-2.62829266554571,-11.6770801348981,-2.65322466150315
"2023_Q2",20,26,"median",38,0.0125,"SP",1,50,12,-6.09311275965325,-9.43677033755329,-12.8365580305067
"2023_Q4",20,26,"median",38,0.0125,"SP",1,50,12,0,-13.1064851783009,0
"2024_Q1",20,26,"median",38,0.0125,"SP",1,50,12,-12.0408133665857,-1.81116926828418,-12.28546473031
"2024_Q2",20,26,"median",38,0.0125,"SP",1,50,12,-1.0974007736266,-12.5141459484708,-1.20023443816339
"2022_Q1",52,46,"median",14,0.66928,"SP",1,50,12,0,-7.30650527133582,-17.5243531230246
"2022_Q3",52,46,"median",14,0.66928,"SP",1,50,12,-0.513222214046048,-5.02115296076165,-15.7131583516985
"2022_Q4",52,46,"median",14,0.66928,"SP",1,50,12,8.41410216834537,-9.91178678941032,-12.4927165566743
"2023_Q2",52,46,"median",14,0.66928,"SP",1,50,12,-7.67971665909107,-0.555863790602255,-13.8298825055903
"2023_Q4",52,46,"median",14,0.66928,"SP",1,50,12,0,-6.95648556070881,-15.6802983060771
"2024_Q1",52,46,"median",14,0.66928,"SP",1,50,12,-0.0233589000084318,-7.55810657649779,-15.0153960091345
"2024_Q2",52,46,"median",14,0.66928,"SP",1,50,12,-2.07401764249882,-6.71701624450665,-15.3867530386883
"2022_Q1",28,95,"mean",29,0.09477,"SP",1,50,12,7.17554926776594,-10.0125655473819,7.11435853275692
"2022_Q3",28,95,"mean",29,0.09477,"SP",1,50,12,-0.797933158302655,-4.17478879739179,-1.20104653479972
"2022_Q4",28,95,"mean",29,0.09477,"SP",1,50,12,16.6508518898465,-11.0602408699082,17.9689091059653
"2023_Q2",28,95,"mean",29,0.09477,"SP",1,50,12,0.76884389808526,-8.67592124787319,-4.21770160742102
"2023_Q4",28,95,"mean",29,0.09477,"SP",1,50,12,0.108701015150494,-7.67942173188542,0
"2024_Q1",28,95,"mean",29,0.09477,"SP",1,50,12,-5.08320577569238,-2.41952266057003,-5.48486338756126
"2024_Q2",28,95,"mean",29,0.09477,"SP",1,50,12,-2.59838651783831,-4.87308294062761,-2.74847206748658
"2022_Q1",32,100,"mean",27,0.16645,"SP",1,50,12,33.258753653044,-13.109288963161,31.0112012739843
"2022_Q3",32,100,"mean",27,0.16645,"SP",1,50,12,-3.32025042562548,-0.279908311801153,-3.42077047399312
"2022_Q4",32,100,"mean",27,0.16645,"SP",1,50,12,11.9374075831029,-9.79834029284997,14.654667556643
"2023_Q2",32,100,"mean",27,0.16645,"SP",1,50,12,-0.77279827498047,-4.7525324905307,-5.67774903245964
"2023_Q4",32,100,"mean",27,0.16645,"SP",1,50,12,0,-6.1215404177051,0
"2024_Q1",32,100,"mean",27,0.16645,"SP",1,50,12,-6.26898777971295,0,-6.60070541475359
"2024_Q2",32,100,"mean",27,0.16645,"SP",1,50,12,-0.14848314913764,-6.59016217386544,-0.875376618800226
"2022_Q1",35,99,"mean",14,0.14301,"SP",1,50,12,16.8715757497119,-12.4258541891974,-2.15018872871597
